latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
39.29559,-122.9192,326.3,0.53,0.42,2018-02-06,2046,N,VIIRS,n,1,288.5,4.9,0
39.71645,-121.06189,337.6,0.39,0.36,2017-11-01,2105,N,VIIRS,n,1,299.9,27.2,0
39.71581,-121.06641,336.6,0.39,0.36,2017-11-01,2105,N,VIIRS,n,1,295.5,29.8,0
39.92816,-120.91619,345.3,0.4,0.37,2017-11-07,2053,N,VIIRS,n,1,285.1,11.4,0
39.66961,-121.05857,321.8,0.39,0.36,2017-11-11,0956,N,VIIRS,n,1,277.3,2,0
39.667,-121.06389,299.9,0.39,0.36,2017-11-11,0956,N,VIIRS,n,1,276.5,2.3,0
39.90936,-120.89951,327.6,0.39,0.36,2017-11-27,0955,N,VIIRS,n,1,275.4,3.7,0
39.65487,-121.0028,336.1,0.38,0.36,2017-11-28,2059,N,VIIRS,n,1,279.2,6.4,0
39.69509,-121.00653,324.2,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,274.3,4.8,0
39.67987,-121.00137,327.9,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,275.3,4.7,0
39.67901,-120.98886,322.3,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,275,2.8,0
39.66964,-120.99655,317.7,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,275.6,5.1,0
39.66031,-121.00484,298.1,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,275.7,1.6,0
39.65303,-121.04367,311.2,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,277.3,3,0
39.64715,-121.03001,312.1,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,277.7,1.9,0
39.6467,-121.02332,300.2,0.6,0.53,2017-11-29,0918,N,VIIRS,n,1,276.2,1.9,0
39.6788,-120.99198,299.7,0.53,0.67,2017-11-29,1058,N,VIIRS,n,1,274.8,1.4,0
39.66693,-121.01752,306.9,0.53,0.67,2017-11-29,1058,N,VIIRS,n,1,276.3,1.3,0
39.64777,-120.99136,313.3,0.61,0.54,2017-11-30,1039,N,VIIRS,n,1,266.3,2.2,0
39.65982,-121.06132,331.9,0.54,0.42,2017-12-17,1020,N,VIIRS,n,1,275.3,3.9,0
40.4924,-124.36019,334.4,0.43,0.38,2017-10-31,2124,N,VIIRS,n,1,291.7,3.6,0
40.56665,-124.31509,326.6,0.38,0.36,2017-11-06,2112,N,VIIRS,n,1,282.3,4.1,0
40.39537,-124.11963,334.1,0.43,0.38,2017-11-16,2124,N,VIIRS,n,1,279,3.9,0
40.39476,-124.12452,333.7,0.43,0.38,2017-11-16,2124,N,VIIRS,n,1,277.9,3.9,0
40.47205,-123.51191,335.7,0.6,0.71,2017-10-14,2003,N,VIIRS,n,1,293.5,6.4,0
40.46663,-123.51483,352.5,0.49,0.49,2017-10-14,2143,N,VIIRS,n,1,307.7,14.4,0
40.46621,-123.5202,335.6,0.49,0.49,2017-10-14,2143,N,VIIRS,n,1,302.5,13.2,0
40.47111,-123.51576,367,0.49,0.49,2017-10-14,2143,N,VIIRS,h,1,306,14.4,0
40.47071,-123.52097,367,0.49,0.49,2017-10-14,2143,N,VIIRS,h,1,309.1,13.2,0
40.47149,-123.51086,343.2,0.49,0.49,2017-10-14,2143,N,VIIRS,n,1,302.1,14.4,0
40.47028,-123.51997,298.1,0.4,0.37,2017-10-15,1002,N,VIIRS,n,1,277.7,0.5,0
39.35006,-123.22171,327.6,0.4,0.37,2017-10-09,1015,N,VIIRS,n,1,289.2,28.3,0
39.34669,-123.22258,342.8,0.4,0.37,2017-10-09,1015,N,VIIRS,n,1,303.9,46.9,0
